"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity)","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity) lower 95% uncertainty interval","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
1990,"Women","World",NA,0.14490923974454847,0.13960273886133565,0.15022102347603097,0.08794640206797089,0.08535778097222316,0.09057432351993747,0.23285564181251936,0.22683352697837783,0.23871538901615452,0.1369296745194946,0.13267689020166426,0.1413607464715961,0.4424209090956014,0.436394486525835,0.4484544548408865,0.1877937725723847,0.18358921014988291,0.1920762212258965,0.06271899629421498,0.06028308539355821,0.06518453458329142,0.018450768528673583,0.0172753584519578,0.019677324131576218,0.006776637245082315,0.006111859145298888,0.007471222509538053
1991,"Women","World",NA,0.14242953194162727,0.13731254275157007,0.1474562139920392,0.08968079030633111,0.08730324109095379,0.09213620523806557,0.2321103222479584,0.22645778444924633,0.2376097968122882,0.1350688819044436,0.1310629302761119,0.13929496063499328,0.44279891280958444,0.4370487057366479,0.448520481869039,0.19002188103801354,0.186017868672638,0.19412051465705055,0.06377145724932862,0.06147887117154234,0.06607676364356614,0.01888231615601957,0.017766974690874224,0.02003605788234812,0.007027016900982941,0.006389286969499636,0.007705165319959833
1992,"Women","World",NA,0.13999107713002154,0.13500480761047742,0.144878615220875,0.09145815537800668,0.08915858637247995,0.09377525530476355,0.23144923250802824,0.22614978133910393,0.2366500012912974,0.13322237876271292,0.12935482446147675,0.13727933010524307,0.44306555619340793,0.4376116823750519,0.44861113123891433,0.19226283053585091,0.18841051218578092,0.1961834471944471,0.06484933769664655,0.06267705947371788,0.06699259061468034,0.01931883218933685,0.018271429437475974,0.020424662987427816,0.00728998549202327,0.0066683925214784875,0.00794488109192761
1993,"Women","World",NA,0.13765719185981032,0.13288451264007115,0.142374946484735,0.09329379896712339,0.09108103253896323,0.09546304196775073,0.2309509908269337,0.2259382216629417,0.23601812755277085,0.1314192050876377,0.1277382405032735,0.13524503789289546,0.4431306598823209,0.43785600629501437,0.4484874982604849,0.19449914220310763,0.19080331203430706,0.19824758654493846,0.06595825316593057,0.06392731781310877,0.06799111022340318,0.019767508877630634,0.01877172156130931,0.02080866003635258,0.007568036923562189,0.00696555488475566,0.008199548492398186
1994,"Women","World",NA,0.13547598996333735,0.1309498445953793,0.14003892420993877,0.09523917865761669,0.09310206579208766,0.0973612398796999,0.23071516862095404,0.22586913886893722,0.23557187101845506,0.1296692078097086,0.12617214849846803,0.1333710586599575,0.4428873042531059,0.43773048173922374,0.44812135401283393,0.19672831731623147,0.19325596443846332,0.20037392035369184,0.06712632473012897,0.0651847089414936,0.06909387367178013,0.02024478663989172,0.019299964014776565,0.021228369751749177,0.007868067287595992,0.007278189437526773,0.00848278980482894
1995,"Women","World",NA,0.13341350235450924,0.12906665532313835,0.13775907918709218,0.09733771935587511,0.09529693483178434,0.09942516116750508,0.23075122171038437,0.22601435201486633,0.23547181164961245,0.12794123319411332,0.12456786383387258,0.13153182649072276,0.442320523579633,0.43738653228746244,0.4473434478529362,0.19898701951586936,0.19557947153816657,0.20254978961465464,0.06837907801331329,0.0665122955429265,0.07032116759416245,0.02076271056569502,0.019845482670342755,0.021715825645591408,0.0081959307768668,0.0076176994209667245,0.008805163354794704
1996,"Women","World",NA,0.13136571632935706,0.12714949234814768,0.13552430099654691,0.09948880049155115,0.097508677760429,0.10150415322887602,0.2308545168209082,0.2263011068914735,0.23543411637873116,0.1262570410501662,0.12298215156380124,0.12969232304779313,0.441646023679149,0.4368292658015483,0.446380926586857,0.20124241644977656,0.19790554907213997,0.20473440966638584,0.06965194359467895,0.06781454089923064,0.07151185355448599,0.0212935059384315,0.020406999758921556,0.022228110113511626,0.008543350958440695,0.007975157644990774,0.009147756802281
1997,"Women","World",NA,0.1294142406936881,0.12541578429261785,0.13348235060891728,0.10184985507011794,0.09993514666263174,0.10380865536171065,0.23126409576380602,0.22696537080543513,0.23564533926639558,0.12456624799560649,0.12144685798714955,0.1278454325787079,0.4406081281430231,0.43590292203270936,0.4451373893595777,0.2035615260975644,0.20028706519801853,0.20696532227970013,0.07104273113065727,0.06927265115755396,0.07286469210527723,0.02188006680018385,0.021008631566626093,0.022772268769099616,0.008927057139276813,0.00836239514196684,0.009527073008589411
1998,"Women","World",NA,0.1275056564022701,0.12359270044660181,0.13140392170194523,0.10436102468186101,0.10252184802343707,0.1062234397753315,0.2318666810841311,0.2276137589342968,0.23614463752351944,0.12288298730402665,0.11984364262382802,0.12604109293161964,0.43934181830049623,0.43478705921781924,0.443668680669242,0.20590851131134602,0.20274559254024693,0.20931277208072996,0.07251308390742157,0.07082102883956679,0.07426315112335086,0.022506594036411448,0.021654167655862457,0.02337665345450233,0.009341346738028009,0.00877019657029556,0.00992905329979135
1999,"Women","World",NA,0.12559835068986983,0.12182219704266456,0.1293911567638028,0.10695105498650168,0.10518354609207221,0.10878733936295217,0.2325494056763715,0.22841550509435052,0.23666684464257068,0.12124103346123555,0.11828449236785829,0.1243081164705251,0.4379514217233224,0.43355768650991744,0.4422087718388826,0.20825813713907057,0.20518078217540336,0.21155546326112884,0.07402077509278644,0.07239820522146667,0.07573736377290276,0.02315249970235113,0.022326775402355583,0.0240128975738363,0.009777780191364096,0.009206687045837493,0.010360851169825375
2000,"Women","World",NA,0.12363848608723557,0.11995195446921653,0.12730749701802482,0.10958014368148543,0.1078175499787967,0.11139205289414496,0.23321862976872101,0.22919558565592163,0.23723067109699886,0.11964492458477562,0.11675555358492427,0.12253731514014835,0.436548182426421,0.43228501959656884,0.4406987596948888,0.21058826122008234,0.207512175121025,0.2137505443548057,0.07553957791919295,0.07392538446266092,0.07720253655279762,0.023810311425634015,0.022999859816071076,0.024641954962522205,0.010230254336658444,0.009665132571778791,0.010804520976456075
2001,"Women","World",NA,0.12166084770094492,0.1180583914191323,0.12522654217014453,0.11230752934728941,0.11056887485140188,0.1140940166657158,0.23396837704823428,0.2300222616942349,0.2378637907053043,0.11805746391848565,0.11531160562438746,0.12080727511350413,0.435050366582883,0.4309096592732808,0.4390088882195765,0.21292379045039703,0.20999399277329212,0.21603495315032167,0.0770976304621334,0.07547925032948508,0.07877354302969607,0.02450159099368626,0.023711047569488476,0.02533702985443215,0.010708307891469758,0.010135969695286639,0.011289104614720526
2002,"Women","World",NA,0.11958299561658693,0.11602141174921844,0.1231064174791904,0.11502064491881608,0.11327197213247514,0.11675221675352893,0.23460364053540303,0.23082188695842387,0.23842034076888174,0.11647796485845471,0.11388334036058141,0.11917790862043617,0.4336495508444776,0.42961216690156506,0.4375671671214899,0.2152688417616647,0.2122916749622643,0.21830147060578764,0.07863256342310967,0.07703425383127283,0.08026746745282164,0.02519626591621176,0.024419224008327724,0.026038183331243244,0.011191815579494644,0.010605176048138152,0.011794728689525509
2003,"Women","World",NA,0.1174034300206273,0.11395493399291132,0.12083336425781678,0.11773377699429952,0.11596950135594249,0.11945482270838212,0.23513720701492682,0.23140236500099445,0.23886239076886945,0.11489229458241398,0.11235412527608526,0.11750958914620152,0.43232780896797146,0.42837786838074765,0.43612870464211456,0.21764268743468773,0.21462002529038623,0.2206348415256667,0.08015688329655633,0.07852638569590356,0.08177509178215187,0.02589527407096865,0.02511905628247602,0.02673089987868952,0.011681619626774543,0.011098431917302774,0.012305482177861461
2004,"Women","World",NA,0.11513320667821719,0.11173906777988601,0.11846273813604932,0.12047933990151939,0.11869410346993277,0.12222851903553218,0.2356125465797366,0.23194964318248046,0.23929242238422582,0.11329011895781185,0.1107681420894237,0.11579763031562963,0.43103740851886896,0.4271798078878051,0.43478540508575647,0.22005992394358256,0.2170920513920946,0.22301755734131232,0.08169072593074586,0.08004441424640568,0.08332970076910516,0.02660755531746473,0.025835559790811424,0.02744235171861755,0.012181058653308785,0.011587050605665,0.01283007748365942
2005,"Women","World",NA,0.11278954704875009,0.1094977242219516,0.1160071238585468,0.12328180597914247,0.12153140357288353,0.12506709180142375,0.23607135302789256,0.23246962711743474,0.23964044687797262,0.11166611268994758,0.10920478087877,0.1141054919355923,0.429727579499949,0.42598869251564275,0.4334189337604943,0.22253495278221083,0.2196146635924545,0.2254453270361914,0.08325577135054027,0.08162567630712031,0.08489936381733694,0.027334223694255075,0.026550438758449216,0.02815504192098338,0.012691810934347111,0.012097455190543107,0.013342560861705387
2006,"Women","World",NA,0.11038632384149275,0.10718720423283744,0.11359349095177435,0.12609740221909996,0.12430929097538222,0.12787419590881752,0.23648372606059267,0.23296685611556622,0.24000597185800576,0.11002341962110072,0.10764895010971781,0.1124210061928535,0.4284436270631445,0.424800229010364,0.4320937956173217,0.22504922525516208,0.2221125511281266,0.22790650435904036,0.08483413439855114,0.08322554403012085,0.08646277883268089,0.028059875453170458,0.02725628370979158,0.028890929675161367,0.013203392367378356,0.012598174982935428,0.013856208969532526
2007,"Women","World",NA,0.10788730841791033,0.10479643680010366,0.11097679302112612,0.12900515372640523,0.12721103491900554,0.13079982671101964,0.23689246214431553,0.23340101821534479,0.24040946597847315,0.10832662740002937,0.10600497171567604,0.11066649867929819,0.42715508580408995,0.4235748560636574,0.4307545589214151,0.22762582265156514,0.22467177537258823,0.2305083540382871,0.08647220751648681,0.08486973897944777,0.08808171429704005,0.028803164438079246,0.028005888314873648,0.029641580893519554,0.013729781771839169,0.01312027660420869,0.014402195632644171
2008,"Women","World",NA,0.10531903532157631,0.10231295362698276,0.10832016697409143,0.1320084242812577,0.13021504148742846,0.13377894248426064,0.23732745960283402,0.23389273255393284,0.24076230367944512,0.10657763167103054,0.10437280180189806,0.10888112359250857,0.42583942784579215,0.422309831043538,0.4293493879765103,0.23025547888034326,0.22734304578101242,0.23310888096426935,0.08817657841583001,0.08655447320196653,0.08980716642348982,0.029562627128096267,0.028759262801352145,0.03040102511941247,0.01426921873733142,0.013637241421534822,0.014943102178803213
2009,"Women","World",NA,0.10268430962019033,0.09975221830760433,0.10562570655008445,0.1350886556167792,0.1332775116883476,0.13687910944314088,0.23777296523696953,0.2344240246085949,0.24117590546351544,0.10479031506212061,0.10266993519548046,0.10699839915185005,0.42451960079890555,0.4210946402321641,0.4280236796364928,0.23291711690200428,0.23002019627067083,0.23573485085591564,0.08993720982205353,0.08831009661860222,0.09157862935075414,0.030334036097278107,0.029521985586943557,0.031185537397060554,0.014817409697447577,0.01416161498883525,0.015497714018910296
2010,"Women","World",NA,0.10001781967996698,0.0971600737171473,0.10289410373231872,0.13822851543832687,0.13639943770283228,0.14002968654210027,0.23824633511829385,0.23495979658352456,0.24153769344891757,0.10297515080616253,0.10087530518263856,0.10511638196438086,0.42320496733185253,0.4198423119289447,0.4265961678985663,0.2355735447436911,0.23269221418702288,0.2384409785251626,0.0917428449601254,0.0900390195475265,0.09344364518256505,0.03111475618264491,0.030273757806960427,0.03198743256684819,0.01537091429555656,0.014693751218914147,0.016077170907573428
2011,"Women","World",NA,0.09736846013319136,0.09454662621749012,0.10017275829717272,0.14145040840623685,0.1396046352212986,0.1432759328801572,0.23881886853942821,0.2355474806035614,0.24206462671976203,0.10114442351972927,0.09911690833231145,0.10326180903426958,0.421834654762583,0.41849547661726755,0.42524256958676754,0.23820205117825954,0.23529584809795015,0.24107614587990528,0.09360154208804734,0.09188475489852711,0.09533870645495349,0.03191299782080498,0.03104642253335419,0.03279819036559248,0.015935868497384528,0.015246206489864104,0.016655435481218048
2012,"Women","World",NA,0.0947055392590019,0.09195605842297054,0.09744470162945307,0.14477654264121848,0.14290373913987028,0.14667180833069296,0.2394820819002204,0.23626072649920174,0.2427301846360629,0.0992816912189289,0.09724719326429558,0.1013670258035006,0.4203739503708154,0.41699288304988935,0.42384439503391635,0.24086227451003533,0.23792650436383045,0.2437224900205016,0.09552845251505927,0.09378606157424868,0.09729476363361224,0.03273815466584646,0.031828963137028245,0.03362510049172911,0.016509935460312736,0.01579980422599756,0.01724413110299844
2013,"Women","World",NA,0.09202895211685304,0.08930596179212628,0.09470021568552077,0.1482326026197602,0.1462882844687817,0.15019164577692365,0.24026155473661326,0.23700330178833984,0.24347385366124616,0.09739950984511937,0.09537301627988763,0.0994680188583323,0.41876562485717317,0.4152869457939781,0.4223140906895452,0.24357330856109422,0.24061617711264172,0.24648903010852496,0.09753219998373545,0.09575986038216118,0.09932068362546882,0.033600652609612036,0.03266595667954792,0.034517454630551496,0.017099750026412723,0.0163584886832506,0.017858149325437233
2014,"Women","World",NA,0.08937072238794914,0.08659169310981385,0.09202897109808632,0.15182718721297872,0.14980763402908306,0.15385227121605236,0.2411979096009279,0.2378883921998029,0.2444608454463281,0.09551885356414422,0.09345923859432465,0.09763287535985703,0.41695837874194924,0.4133569480480723,0.4206320649150742,0.24632485609297874,0.24323341957033343,0.24936488331350007,0.09960382835487974,0.09777212941851739,0.10147800584692243,0.03451056636033818,0.03352048429762513,0.035459809776062466,0.017712792497760803,0.01692717628681592,0.018511771180892447
2015,"Women","World",NA,0.08673958358495625,0.08389060988832223,0.08948740172800224,0.15557659782127586,0.15344061321635177,0.15771333276581448,0.24231618140623212,0.23894980216245304,0.2456813819479458,0.09363544557484921,0.09152384834528919,0.09579166870817282,0.41495049728416206,0.4112072626374046,0.4187891146236648,0.2490978737347566,0.24584950946103537,0.25236937438730933,0.10174567103784053,0.09980707259183812,0.10373533111354147,0.03547406594991955,0.03444725689042085,0.036500532445544555,0.01835686083351577,0.017506548207677587,0.019236618742918172
2016,"Women","World",NA,0.08419822839803894,0.0812516447811916,0.0870965590452051,0.15940538946584734,0.1570981400280272,0.16178741852866424,0.24360361786388626,0.23999072004649025,0.2472054310801376,0.09179729805336877,0.08956172696300424,0.09408492926106718,0.41279929646368485,0.4087462957941455,0.41693247860140625,0.2517997856190601,0.24827603609396473,0.25533634771592706,0.10390693231867613,0.10179817792158215,0.10606277351532842,0.03647199478461908,0.03535077070944401,0.037610202283327857,0.01902646236255212,0.018086025824043082,0.019980195025170018
2017,"Women","World",NA,0.0816974992048571,0.07855693903374614,0.08479434432122743,0.16336058545662502,0.1608441599877682,0.16604497644041527,0.2450580846614821,0.2411016201796748,0.24893804183286408,0.08997246064919899,0.08755110565577073,0.09244301470392603,0.41051886586592234,0.4061421163979826,0.4149664323131335,0.2544505868233966,0.2504692234960133,0.25849468564105077,0.10611583466341941,0.10379043808562685,0.10849059359960761,0.037511281134307115,0.036284696101884326,0.038762093571555835,0.01973346965889851,0.018677135149202276,0.020807516380700844
2018,"Women","World",NA,0.079237996889138,0.07585554789687396,0.08267983102589302,0.16742803063238315,0.1645281159591642,0.17046607243716083,0.24666602752152117,0.24216543367035331,0.25096672549120125,0.08815777312723572,0.08547190113522628,0.09093438903205213,0.40811332974895803,0.4031550244221812,0.41309987622274574,0.25706286760228503,0.25259636160096555,0.2615925223085244,0.10836739373420153,0.10568243660803497,0.11108528763767433,0.03858246396292681,0.03717480548003258,0.03995823852340437,0.02047817293525481,0.01928412509970064,0.02172286488737034
2019,"Women","World",NA,0.07684273197836901,0.07314926868801318,0.08065199071071386,0.17161414037454248,0.16818403647181587,0.1751049964292855,0.24845687235291147,0.24338792330753767,0.25336459178346804,0.08635668059326619,0.08331109429048716,0.08954762905455009,0.40558161356850875,0.39995684863437164,0.4113463012625773,0.25960483148531355,0.2544597678346634,0.26485704911851315,0.11065810403676699,0.10748882846339627,0.11384067885753144,0.03969121569219668,0.03810016170640035,0.04126742838409117,0.021264820645578806,0.019892820121206356,0.022704392694031638
2020,"Women","World",NA,0.07452388324111119,0.07034085310365272,0.07875359904031086,0.17594294255053772,0.1718627835043659,0.18006092165039725,0.2504668257916489,0.2447806103191317,0.2561629127135132,0.08457142915854793,0.08107409674490854,0.08820109477018569,0.40289924682825196,0.39620467851346514,0.40953700624507833,0.2620624962215512,0.2560855696063241,0.2681433891277647,0.11299945820433312,0.10920526602204078,0.11678244253306765,0.04084364217904521,0.038978963930654816,0.04269377015507163,0.022099842167159392,0.020501129222861833,0.023784492839643533
2021,"Women","World",NA,0.07229108835551834,0.06757919902810988,0.07704953686873467,0.18042308820007713,0.1755684096884616,0.18537157339197624,0.2527141765555954,0.2462096226757908,0.2592160940040631,0.08281231764628555,0.0788265602755266,0.08698081101839161,0.40005681526183734,0.39212130866320366,0.4078893719593143,0.2644166885362817,0.2573755272565125,0.2715818867667456,0.11538534200788991,0.11086728025004304,0.11989298268812222,0.042046887164500196,0.0398451567524036,0.044245996683727515,0.022990859027686997,0.021104540333717215,0.024952687887524524
2022,"Women","World",NA,0.07014491925796393,0.06484956813877069,0.07548322545282957,0.18505212791404196,0.17930828166739668,0.19092041377247962,0.25519704717200586,0.24777571819739339,0.2627065692323956,0.081078217002511,0.07650479886205738,0.08591778404390471,0.39703379026384394,0.3877512559177797,0.40601148428344813,0.2666909435616391,0.2583532489952481,0.27510534835905426,0.11781926909698254,0.11257739247008218,0.1232209821013064,0.04329948295933689,0.04064700893652639,0.045915723388127876,0.023933375857722546,0.021720447109436235,0.026291569282285515
