"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity)","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity) lower 95% uncertainty interval","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
1994,"Men","World",NA,0.12780292095342635,0.12197290209180517,0.1337137583392153,0.055096285810346715,0.05330739851550091,0.05701791496781227,0.18289920676377305,0.17679308234938249,0.18889595129420647,0.13707683997710277,0.1327078052133459,0.1415778774162169,0.47141670042822215,0.4652513495490801,0.47764812936841883,0.20860725083090198,0.20469412748799884,0.21257655665858727,0.04579603404512743,0.044069703065843215,0.04759608647160051,0.007321477273096041,0.006770168656225996,0.007901731185130432,0.001978774492123248,0.0017372156804056436,0.0022482202746088075
1995,"Men","World",NA,0.12573660364497108,0.12010641850633265,0.1314343846442223,0.05728936577926972,0.05551949668890666,0.059163260043230394,0.18302596942424076,0.17715265579809222,0.18883302341442915,0.1353395139342284,0.13112755449416155,0.13974305985382623,0.4698387230260099,0.46385385219639325,0.4758321058944048,0.21179579161552092,0.20793128994957213,0.2156727262507464,0.04741277830777351,0.04572282207008689,0.049205469409344754,0.007735285694797309,0.0071725147859273445,0.008325213153636891,0.0021413017766989035,0.0018902737328317274,0.0024219344231034144
1996,"Men","World",NA,0.12366295202691525,0.11811178738982116,0.12922527938561695,0.05954070218819672,0.05780730102236923,0.061335931817164326,0.18320365421511195,0.17744592120716135,0.18887830330779531,0.13357872614910157,0.12945408813129766,0.13785124874181162,0.46834319600486973,0.46254386171119144,0.474313990265799,0.21487442163091677,0.21102043861805458,0.2187787415278602,0.04903003595782616,0.04734029426115038,0.050758281993307515,0.008188560667729937,0.007630598429233223,0.008771019138954894,0.002322105562640623,0.0020620309491971313,0.002612394428984066
1997,"Men","World",NA,0.12169117257978827,0.11634173169190247,0.12709080159862726,0.061969671519973436,0.06026517855778745,0.06376375712582609,0.18366084409976172,0.17812684762707076,0.18919938709861772,0.1317413486102781,0.12772581110013623,0.13591993697029345,0.46655876198080404,0.4608465087932751,0.4724541182075561,0.21803904330915613,0.21427181881867038,0.22186859674555806,0.05074598253033544,0.04909321834826082,0.05244982654493287,0.008697008923569921,0.00813927330565512,0.009277232427344313,0.0025266800660680767,0.002256894215721615,0.0028322612097331865
1998,"Men","World",NA,0.11974561922288235,0.11459444245522811,0.12490302377067769,0.06454325866862125,0.06284431257923623,0.0663136234937527,0.1842888778915036,0.17901424788403006,0.18973238092942066,0.12983341538310242,0.12595419328156804,0.13382601217319023,0.46460515711285205,0.45900363001100186,0.4702246600364978,0.2212725476125419,0.21751429721484894,0.2250280592792146,0.05253875067704732,0.0508882942447161,0.05419957380038567,0.009251762502338678,0.008697499746476524,0.009835114643567896,0.002752745489235253,0.002462058160527014,0.0030672910519361687
1999,"Men","World",NA,0.11777048699921125,0.11261472141974055,0.12268496215700175,0.06721939427177871,0.0655522534910991,0.06896102084407019,0.18498988127098992,0.1798299115874141,0.1902364145658392,0.12788109026082506,0.124187353541208,0.13179036199110403,0.4626229363757178,0.45718039681006956,0.46801864438496127,0.2245060900924671,0.22084770986524016,0.2282697068911954,0.054378945948177854,0.05275259054511843,0.05598329881630495,0.009841451778649543,0.009278618512199906,0.010435470168080213,0.002998996544951312,0.0026901121645769915,0.0033290572504123205
2000,"Men","World",NA,0.11573900811649324,0.1107599875342603,0.12045980549854156,0.06996765505092731,0.06833150407777328,0.07163123749885827,0.18570666316742057,0.1806474904291053,0.19078593359425214,0.1258814403224043,0.12234443923846909,0.12967847340623345,0.4607006873399041,0.455410470818811,0.4658902045747572,0.22771120717027105,0.22417328473043763,0.2313722608219278,0.05624852841218473,0.054644737614165904,0.057814407929831196,0.010455738135917688,0.009885610559948054,0.011054965643045513,0.0032633885028248966,0.0029442282451875674,0.003608977247605274
2001,"Men","World",NA,0.11370227744786998,0.1088159339169417,0.11835482864305033,0.07281693202135982,0.07122881860025697,0.07445151960238358,0.18651920946922979,0.18164018770774087,0.19147279227061897,0.12379317196284836,0.12035588034695933,0.12746471724493805,0.4587435319905253,0.4536502108888506,0.46376516608591745,0.23094408457739654,0.2274480808205771,0.23456288952818494,0.05817148381039871,0.05661977816637564,0.059704792660234624,0.011096022050922201,0.01052874545753602,0.01170278631513299,0.003549426160038901,0.003217137804455998,0.003900946981498044
2002,"Men","World",NA,0.11155423353405293,0.10678579442508278,0.11615513636461937,0.07568409465102739,0.07410448890903719,0.07728200529190878,0.18723832818508032,0.18245159164404637,0.19201258765859053,0.12161445555903068,0.11827996083321805,0.12504717693922698,0.45695996457244625,0.45207438257792276,0.4618892184593328,0.23418724968344276,0.2308047903533659,0.23779924078759174,0.06009949836297609,0.058581709237068756,0.0616066806745035,0.011736738395847096,0.011165743901276882,0.01235621270895203,0.003847857892204207,0.0035012176383209036,0.0042164893443286024
2003,"Men","World",NA,0.10928885191352476,0.10471387683080739,0.11370930281517683,0.07857199364551751,0.07699572580026705,0.08015516491731729,0.18786084555904226,0.18317878225672515,0.19249446016848926,0.11935192107184407,0.11617359313311355,0.12262891744435969,0.45530387043269677,0.45067703247464097,0.46004810930406054,0.23748336093641695,0.23418358361274044,0.2409430064476977,0.06203314932324586,0.0605390665807951,0.0635410125453843,0.012382084920730204,0.01179531688493345,0.013003048367675251,0.004156759401541446,0.003797210037774479,0.00454693848716414
2004,"Men","World",NA,0.10691344341529914,0.1025870053651127,0.11120568809862054,0.08151099200797043,0.07996507721378524,0.08309924733489021,0.1884244354232696,0.18388800761505963,0.19287991188861914,0.11703663252606511,0.1140301427426595,0.12016210680991189,0.4536951011334422,0.4491556800188368,0.45827463022339204,0.2408438289172231,0.23747199219158843,0.24427365824478112,0.06399574502389732,0.06247833982105094,0.06552686042057469,0.013038301340997925,0.012446065943575122,0.013678588624141102,0.0044769456430751855,0.004100566923077348,0.0048749061318743726
2005,"Men","World",NA,0.10444027426305533,0.10030026314328425,0.1085193860242709,0.084500815337719,0.08293062686559352,0.08610160682846296,0.18894108960077435,0.18451292030499966,0.19323055110260884,0.11468947307657806,0.11177947751725989,0.11759396993751711,0.45208923697535347,0.4476974427752453,0.45657307356718296,0.24428019834729411,0.24096487496761,0.24763732110097678,0.06599030613039732,0.06450939935897393,0.06754906929651223,0.013703049997213435,0.013114527065780668,0.01434446992605051,0.004807459210108267,0.004416401667176768,0.005219834787396419
2006,"Men","World",NA,0.10189255945502286,0.09793618120110031,0.10575914808393179,0.08744725324371114,0.08587122751723567,0.08906951413665071,0.18933981269873398,0.1850475591524227,0.1934969698467423,0.11236600864982745,0.10958313511418495,0.11518119528542735,0.45061847466092464,0.4462387673239314,0.4549843522318501,0.2476757019905139,0.24434139406859337,0.2509951646924878,0.06794611678951264,0.06646250837128535,0.06952855856966396,0.014360650235434117,0.013759951447895956,0.014998120736964628,0.005140486218764387,0.0047404513510810155,0.005568102360429219
