country,continent,total_confirmed,total_deaths,total_cases_per_1m_population,total_deaths_per_1m_population,population
Uruguay,South America,902540,7213.0,258152,2063.0,3496151
USA,North America,84209473,1026646.0,251659,3068.0,334617623
Uzbekistan,Asia,238802,1637.0,6947,48.0,34372515
Vanuatu,Australia/Oceania,8457,14.0,26386,44.0,320508
Venezuela,South America,522921,5711.0,18487,202.0,28285909
Viet Nam,Asia,10696630,43065.0,108080,435.0,98969721
Wallis And Futuna Islands,Australia/Oceania,454,7.0,41755,644.0,10873
Western Sahara,Africa,10,1.0,16,2.0,624681
Yemen,Asia,11819,2149.0,381,69.0,31049015
Zambia,Africa,320591,3983.0,16575,206.0,19342381
Zimbabwe,Africa,249206,5482.0,16324,359.0,15265849
