measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,1997,3793.973279025605,4681.649315497476,2940.5708289850445
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,1998,3677.150147003263,4552.21362973781,2867.001684037965
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,1999,3519.9900456403366,4367.508158663612,2756.282816697403
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2000,3359.660932631594,4135.139398585447,2624.790152540959
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2001,3229.479283491906,3974.9734644538735,2533.198954599795
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2002,3023.058495368373,3727.842316413402,2394.182603381939
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2003,2837.165554109521,3517.452310635152,2235.413057976906
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2004,2672.8455486475714,3289.0523774856565,2112.246954611336
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2005,2514.8943509373066,3050.601326228016,2011.4367638861304
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2006,2430.549061352652,2979.5666958602137,1923.27034997524
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2007,2340.088980144521,2849.239107709684,1879.761293739858
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2008,2243.582803473482,2774.457029729666,1765.1019685599072
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2009,2151.389431887125,2649.783964392498,1666.686940601915
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2010,2060.721952224876,2498.930103590349,1626.320185412464
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2011,2019.152078931918,2440.31668446393,1602.5400988100928
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2012,1901.6811376724208,2324.85600373709,1490.7688404473088
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2013,1843.89840662211,2295.777279187536,1421.6328933707389
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2014,1776.3006350168396,2243.296104684493,1348.4769387216909
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2015,1672.5108472805605,2104.9167972009,1266.578409542528
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2016,1649.0656316852462,2096.168093969204,1244.7553927008971
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2017,1626.095492296431,2078.7099870434376,1202.1223719477389
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2018,1587.8863046229126,2064.1339187385324,1148.131222824983
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2019,1548.1882513881003,2029.095688821944,1109.18280704002
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2020,1527.62280596956,1991.6220848831103,1088.5500105234946
1,Deaths,1,Global,3,Both,8,15-19 years,294,All causes,173,Cholera,1,Number,2021,1510.8080536557022,1990.2184757728085,1082.4409288959316
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,1990,3982.1644959801215,5044.287787936499,2987.544749707417
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,1991,4071.259932307276,5170.373320160619,3077.356739689958
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,1992,4030.2891562742634,5044.256136641092,3023.4130365813608
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,1993,3990.2135759271546,5031.172948998006,3020.43451441985
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,1994,3964.6684186566704,4990.828556796162,3025.437213164974
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,1995,3884.526918440181,4899.632002371927,2964.2327158930057
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,1996,3852.140613565193,4820.762001067692,2922.623572788621
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,1997,3734.6480105079486,4676.504057209548,2821.750831834433
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,1998,3640.9970693604087,4561.58484764747,2736.975151472944
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,1999,3513.0025141578194,4443.514802253789,2645.82357817684
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2000,3380.5200817483988,4205.302689059955,2545.7577809137406
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2001,3292.2750613007474,4114.364628637652,2544.5159683249576
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2002,3101.8984963847797,3917.992723656561,2363.7448467672702
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2003,2909.173446840725,3669.706432690953,2248.9306650590142
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2004,2732.5800012813647,3392.0209289047216,2107.7401821525277
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2005,2564.9462776765754,3158.264545070992,1972.8846935658848
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2006,2481.962494965949,3105.0884287501185,1948.7723424794651
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2007,2384.7756996217568,2995.2037960639736,1897.598765751281
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2008,2268.3876109360244,2830.1476660260787,1804.5479257092184
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2009,2160.0675876644164,2694.181796970716,1712.1059665344642
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2010,2057.5323384222006,2566.082007998952,1614.44096847439
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2011,2009.967309910715,2494.4133697476213,1577.7075828642924
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2012,1893.039225847928,2341.761018219327,1488.3908226171102
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2013,1834.6283131416344,2294.164204533943,1412.343752742764
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2014,1760.5822151926775,2221.062959716415,1339.3254409636647
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2015,1666.2883387599256,2107.887427488248,1247.819291333919
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2016,1660.839181458995,2136.9011919686736,1235.7527765666375
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2017,1642.8025586185006,2101.190358508781,1194.5682583856296
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2018,1608.367787169488,2091.6486279646933,1172.0609315875886
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2019,1571.1227381874237,2058.033331225221,1112.134686033154
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2020,1550.6575891089828,2048.474975675349,1100.6672544858868
1,Deaths,1,Global,3,Both,9,20-24 years,294,All causes,173,Cholera,1,Number,2021,1537.3053930277222,2025.961838858893,1104.79194924066
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,1990,4795.098626945884,5959.162591487782,3655.9487810979663
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,1991,4882.481270910134,6057.998802927847,3724.883823716768
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,1992,4834.850121855781,6003.201559250709,3700.160831274268
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,1993,4768.584437329265,5862.096001144766,3644.615539694833
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,1994,4701.827765765424,5794.477908834495,3644.25843870891
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,1995,4572.239263001378,5569.742766762774,3518.1798552369846
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,1996,4498.973861571884,5535.93229036764,3431.1319613992964
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,1997,4351.982320927455,5306.6857951229085,3328.891590400497
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,1998,4250.493914973723,5259.947077577081,3269.0481540792607
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,1999,4127.145947289057,5091.931029156042,3188.0028078042533
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2000,4000.066422833648,4865.981905011826,3087.2335022827483
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2001,3903.223083276791,4774.145792361098,3011.727776074075
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2002,3700.196500079253,4482.884974400929,2886.358491003905
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2003,3502.745944678456,4280.409835664736,2761.894754684279
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2004,3321.390745282559,4067.954051255501,2627.116367851585
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2005,3152.53476413941,3817.022605616743,2509.508900205715
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2006,3071.3446796470816,3723.907397082744,2489.2701066734285
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2007,2967.7736833194203,3648.651907598135,2433.7182051004465
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2008,2840.21217390893,3486.3169126383564,2321.3086456128444
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2009,2725.221425066512,3326.591691850382,2206.9236531742604
1,Deaths,1,Global,3,Both,10,25-29 years,294,All causes,173,Cholera,1,Number,2010,2610.136082042471,3181.2331836894546,2147.629497097369
